"","Name","GP","MIN","PTS","FGM","FGA","FG.","X3P.Made","X3PA","X3P.","FTM"
"1","Brandon Ingram","Low","High",7.4,"Moderate",7.6,"Low","Moderate",2.1,"Moderate","Moderate"
"2","Andrew Harrison","Low","High",7.2,"Moderate",6.7,"Low","Moderate",2.8,"Moderate","High"
"3","JaKarr Sampson","Moderate","Moderate",5.2,"Moderate",4.7,"Moderate","Moderate",1.7,"Moderate","Moderate"
"4","Malik Sealy","Moderate","Moderate",5.7,"Moderate",5.5,"Moderate","Moderate",0.5,"Moderate","Moderate"
"5","Matt Geiger","Moderate","Moderate",4.5,"Moderate",3,"Moderate","Low",0.1,"Low","Moderate"
"6","Tony Bennett","Moderate","Moderate",3.7,"Moderate",3.5,"Moderate","Moderate",1.1,"Moderate","Low"
"7","Don MacLean","Moderate","Moderate",6.6,"Moderate",5.8,"Moderate","Low",0.1,"Moderate","Moderate"
"8","Tracy Murray","Moderate","Low",5.7,"Moderate",5.4,"Moderate","Moderate",1.5,"Moderate","Moderate"
"9","Duane Cooper","Moderate","Low",2.4,"Low",2.4,"Low","Moderate",0.5,"Moderate","Low"
"10","Dave Johnson","Low","Low",3.7,"Low",3.5,"Low","Moderate",0.3,"Moderate","Moderate"
"11","Corey Williams","Low","Low",2.3,"Low",2.4,"Low","Low",0.1,"Moderate","Low"
"12","Sam Mack","Low","Low",3.6,"Low",3,"Low","Moderate",0.6,"Moderate","Moderate"
"13","Lorenzo Williams","Low","Low",1.3,"Low",1.3,"Moderate","Low",0,"Low","Low"
"14","P.J. Hairston","Low","Moderate",5.6,"Moderate",6,"Low","High",3.6,"Moderate","Moderate"
"15","Elmore Spencer","Low","Low",2.4,"Low",1.9,"Moderate","Low",0,"Low","Low"
"16","John Crotty","Low","Low",2.6,"Low",1.8,"Moderate","Moderate",0.4,"Moderate","Moderate"
"17","Stephen Howard","Moderate","Low",2.1,"Low",1.9,"Low","Low",0,"Low","Moderate"
"18","Randy Woods","Low","Low",1.7,"Low",1.6,"Low","Moderate",0.3,"Moderate","Low"
"19","Larry Johnson","High","High",19.2,"High",15.3,"Moderate","Moderate",0.3,"Moderate","High"
"20","Larry Johnson","High","High",19.2,"High",15.3,"Moderate","Moderate",0.3,"Moderate","High"
"21","Billy Owens","High","High",14.3,"Moderate",11.1,"Moderate","Low",0.1,"Moderate","High"
"22","Stacey Augmon","High","High",13.3,"Moderate",11,"Moderate","Low",0.1,"Moderate","High"
"23","Mark Macon","Moderate","High",10.6,"Moderate",11.7,"Low","Moderate",0.4,"Moderate","High"
"24","Steven Smith","Moderate","High",12,"Moderate",10.7,"Moderate","Moderate",2,"Moderate","Moderate"
"25","Mitch McGary","Low","Moderate",6.3,"Moderate",5.2,"Moderate","Low",0.1,"Low","Moderate"
"26","Larry Stewart","Moderate","High",10.4,"Moderate",7.8,"Moderate","Low",0,"Low","High"
"27","Mike Iuzzolino","Moderate","High",9.3,"Moderate",6.8,"Moderate","High",2.6,"Moderate","High"
"28","Doug Smith","Moderate","Moderate",8.8,"Moderate",9.2,"Moderate","Low",0.1,"Low","Moderate"
"29","Paul Graham","High","Moderate",10.1,"Moderate",8.7,"Moderate","Moderate",1.8,"Moderate","Moderate"
"30","Donald Hodge","Moderate","Moderate",8.4,"Moderate",6.4,"Moderate","Low",0,"Low","High"
"31","Dale Davis","Moderate","Moderate",6.2,"Moderate",4.4,"Moderate","Low",0,"Low","Moderate"
"32","Stanley Roberts","Moderate","Moderate",10.4,"Moderate",8.1,"Moderate","Low",0,"Low","High"
"33","Terrell Brandon","High","Moderate",7.4,"Moderate",7.3,"Moderate","Low",0.3,"Moderate","Moderate"
"34","Bison Dele","Moderate","Moderate",9.1,"Moderate",6.8,"Moderate","Low",0,"Low","High"
"35","Spencer Dinwiddie","Low","Moderate",4.3,"Moderate",5,"Low","Moderate",1.9,"Moderate","Moderate"
"36","Tracy Moore","Low","Moderate",8.5,"Moderate",7.7,"Low","Moderate",2,"Moderate","Moderate"
"37","Greg Anthony","High","Moderate",5.5,"Moderate",5.3,"Low","Moderate",0.7,"Moderate","Moderate"
"38","Kenny Anderson","Moderate","Moderate",7,"Moderate",7.5,"Low","Low",0.2,"Moderate","Moderate"
"39","Victor Alexander","High","Moderate",7.4,"Moderate",5.7,"Moderate","Low",0,"Low","Moderate"
"40","David Benoit","Moderate","Moderate",5.6,"Moderate",4.9,"Moderate","Low",0.2,"Moderate","Moderate"
"41","Kevin Lynch","Moderate","Moderate",4.1,"Moderate",4.1,"Moderate","Moderate",0.1,"Moderate","Low"
"42","LaBradford Smith","Moderate","Moderate",5.1,"Moderate",5.1,"Moderate","Low",0.4,"Moderate","Moderate"
"43","Chris Corchiani","Moderate","Moderate",5,"Moderate",3.8,"Low","Moderate",0.7,"Moderate","High"
"44","Travis Wear","Moderate","Moderate",3.9,"Moderate",4.1,"Low","Moderate",0.6,"Moderate","Low"
"45","Robert Pack","Moderate","Moderate",4.6,"Moderate",3.8,"Moderate","Low",0.1,"Low","Moderate"
"46","Pete Chilcutt","Moderate","Moderate",3.6,"Moderate",3.6,"Moderate","Low",0,"High","Low"
"47","Chris Gatling","Moderate","Moderate",5.7,"Moderate",3.8,"Moderate","Low",0.1,"Low","Moderate"
"48","Tharon Mayes","Low","Low",4.1,"Low",4.1,"Low","Moderate",1.7,"Moderate","Moderate"
"49","Eric Murdock","Moderate","Low",4.1,"Moderate",3.7,"Moderate","Moderate",0.5,"Moderate","Moderate"
"50","Randy Brown","Moderate","Low",3.4,"Low",3,"Moderate","Low",0.1,"Low","Moderate"
"51","Greg Sutton","Moderate","Low",3.7,"Low",3.6,"Low","Moderate",1.3,"Moderate","Low"
"52","Elliot Perry","Moderate","Low",2.5,"Low",2.6,"Low","Low",0.1,"Moderate","Low"
"53","Marty Conlon","Low","Low",2.7,"Low",2.2,"Moderate","Low",0,"Low","Low"
"54","Rodney Monroe","Low","Low",3.4,"Low",3.8,"Low","Moderate",0.7,"Moderate","Low"
"55","John Turner","Low","Low",2.8,"Low",2.3,"Moderate","Low",0,"Low","Moderate"
"56","Mark Randall","Moderate","Low",3.2,"Low",2.8,"Moderate","Moderate",0.3,"Moderate","Low"
"57","Sean Green","Low","Low",4,"Moderate",4.5,"Low","Moderate",0.3,"Moderate","Low"
"58","Kevin Brooks","Low","Low",2.8,"Low",2.6,"Moderate","Moderate",0.3,"Moderate","Low"
"59","Doug Lee","Low","Low",2.6,"Low",2.5,"Moderate","Moderate",0.8,"Moderate","Low"
"60","Corey Crowder","Moderate","Low",2.2,"Low",2.2,"Low","Moderate",0.6,"Moderate","Low"
"61","Rich King","Low","Low",2.2,"Low",1.8,"Low","Low",0,"Low","Moderate"
"62","Stephen Thompson","Low","Low",1.6,"Low",1.9,"Low","Low",0.1,"Low","Low"
"63","Charles Thomas","Low","Low",1.3,"Low",1.4,"Low","Moderate",0.5,"Moderate","Low"
"64","Lionel Simmons","High","High",18,"High",16.5,"Moderate","Low",0.1,"Moderate","High"
"65","Gary Harris","Moderate","Moderate",3.4,"Low",3.9,"Low","Moderate",1.9,"Moderate","Low"
"66","Derrick Coleman","Moderate","High",18.4,"High",14.9,"Moderate","Moderate",0.5,"Moderate","High"
"67","Travis Mays","Moderate","High",14.3,"Moderate",11.3,"Moderate","High",3.1,"Moderate","High"
"68","Dennis Scott","High","High",15.7,"Moderate",14.4,"Moderate","High",4.1,"Moderate","High"
"69","Gary Payton*","High","High",7.2,"Moderate",7,"Moderate","Low",0.2,"Moderate","Moderate"
"70","Felton Spencer","High","High",7.1,"Moderate",4.7,"Moderate","Low",0,"Low","High"
"71","Willie Burton","Moderate","High",12,"Moderate",10.2,"Moderate","Moderate",0.4,"Moderate","High"
"72","Dee Brown","High","High",8.7,"Moderate",7.5,"Moderate","Moderate",0.4,"Moderate","Moderate"
"73","Dee Brown","High","High",8.7,"Moderate",7.5,"Moderate","Moderate",0.4,"Moderate","Moderate"
"74","Dee Brown","Moderate","Low",1.9,"Low",2,"Low","Moderate",0.6,"Moderate","Low"
"75","Dee Brown","Moderate","Low",1.9,"Low",2,"Low","Moderate",0.6,"Moderate","Low"
"76","Kendall Gill","High","High",11,"Moderate",10.2,"Moderate","Low",0.2,"Moderate","High"
"77","Duane Causwell","Moderate","Moderate",6.9,"Moderate",5.4,"Moderate","Low",0,"Low","Moderate"
"78","Mahmoud Abdul-Rauf","Moderate","Moderate",14.1,"Moderate",15.1,"Moderate","Moderate",1.5,"Moderate","Moderate"
"79","A.J. English","Moderate","Moderate",8.8,"Moderate",8.2,"Moderate","Low",0.4,"Moderate","Moderate"
"80","Danny Ferry","High","Moderate",8.6,"Moderate",7.9,"Moderate","Moderate",1,"Moderate","Moderate"
"81","Mario Elie","Low","Moderate",7.2,"Moderate",4.8,"Moderate","Moderate",0.3,"Moderate","High"
"82","Anthony Cook","Moderate","Moderate",5.3,"Moderate",4.9,"Moderate","Low",0.1,"Low","Moderate"
"83","Gerald Paddio","Moderate","Moderate",7.2,"Moderate",7.2,"Moderate","Moderate",0.3,"Moderate","Moderate"
"84","Bimbo Coles","High","Moderate",4.9,"Moderate",4.8,"Moderate","Moderate",0.4,"Moderate","Moderate"
"85","Bo Kimble","Moderate","Moderate",6.9,"Moderate",6.7,"Low","Moderate",1,"Moderate","Moderate"
"86","Alec Kessler","High","Moderate",6.2,"Moderate",6,"Moderate","Low",0.1,"Low","Moderate"
"87","Loy Vaught","Moderate","Moderate",5.5,"Moderate",4.9,"Moderate","Low",0,"Low","Moderate"
"88","Tyrone Hill","Moderate","Moderate",5.3,"Moderate",4,"Moderate","Low",0,"Low","Moderate"
"89","Marcus Liberty","Moderate","Moderate",6.7,"Moderate",6.8,"Moderate","Moderate",0.8,"Moderate","Moderate"
"90","Terry Mills","Moderate","Moderate",5.7,"Moderate",5.2,"Moderate","Low",0.1,"Low","Moderate"
"91","Jamal Robinson","Low","Moderate",5.6,"Moderate",5.1,"Moderate","Low",0.2,"Moderate","Moderate"
"92","Henry James","Low","Moderate",8.1,"Moderate",6.9,"Moderate","Moderate",1.6,"Moderate","Moderate"
"93","Jerrod Mustaf","Moderate","Moderate",4.3,"Moderate",3.7,"Moderate","Low",0,"Low","Moderate"
"94","Kevin Pritchard","Moderate","Moderate",3.9,"Low",3.7,"Low","Moderate",0.5,"Moderate","Moderate"
"95","Gerald Glass","Moderate","Moderate",6.9,"Moderate",6.7,"Moderate","Low",0.3,"Moderate","Moderate"
"96","Larry Robinson","Low","Moderate",3.9,"Moderate",4.2,"Moderate","Low",0,"Low","Low"
"97","Jud Buechler","Moderate","Moderate",3.1,"Low",3.1,"Moderate","Low",0.1,"Moderate","Low"
"98","Cedric Ceballos","Moderate","Moderate",8.2,"Moderate",6.7,"Moderate","Low",0.1,"Moderate","Moderate"
"99","Kyle Anderson","Low","Low",2.2,"Low",2.7,"Low","Moderate",0.3,"Moderate","Low"
"100","Greg Foster","Moderate","Moderate",4.4,"Moderate",3.9,"Moderate","Low",0.1,"Low","Moderate"
