"","Name","FTA","FT.","OREB","DREB","REB","AST","STL","BLK","TOV","TARGET_5Yrs","rule_180","STL_TOV_ratio","double_time","EEF","EEF_GP","EEF_MIN"
"1","Brandon Ingram",2.3,"Low","normal","outstanding",4.1,"normal","normal","outstanding","Moderate",0,129.6,0.307692307692308,0,8.2,0.227777777777778,0.299270072992701
"2","Andrew Harrison",3.4,"Moderate","normal","normal",2.4,"outstanding","outstanding","outstanding","High",0,129.6,0.6875,0,7.2,0.205714285714286,0.267657992565056
"3","JaKarr Sampson",1.3,"Low","normal","normal",2.2,"normal","normal","normal","Moderate",0,133.6,0.5,0,6.2,0.0837837837837838,0.405228758169935
"4","Malik Sealy",1.3,"Low","normal","normal",1.9,"normal","normal","normal","Moderate",1,134.1,0.6,0,5.9,0.101724137931034,0.508620689655172
"5","Matt Geiger",1.9,"Low","normal","normal",2.5,"normal","normal","outstanding","Moderate",1,119.8,0.375,0,5.5,0.114583333333333,0.478260869565217
"6","Tony Bennett",0.5,"Moderate","normal","normal",0.8,"normal","normal","normal","Low",0,148,0.571428571428572,0,5,0.0666666666666667,0.43859649122807
"7","Don MacLean",1.8,"Moderate","normal","normal",2,"normal","normal","normal","Low",1,174.6,0.285714285714286,0,6.2,0.1,0.568807339449541
"8","Tracy Murray",0.8,"Moderate","normal","normal",1.7,"normal","normal","normal","Low",1,159,0.285714285714286,0,5.6,0.116666666666667,0.543689320388349
"9","Duane Cooper",0.5,"Moderate","normal","normal",0.8,"outstanding","normal","normal","Moderate",0,133.9,0.272727272727273,0,3.8,0.0584615384615385,0.383838383838384
"10","Dave Johnson",1.4,"Low","normal","normal",1.1,"normal","normal","normal","Low",0,127.5,0.285714285714286,0,2.5,0.0595238095238095,0.294117647058824
"11","Corey Williams",0.6,"Moderate","normal","normal",0.9,"normal","normal","normal","Low",0,151.6,0.333333333333333,0,2.6,0.0742857142857143,0.376811594202899
"12","Sam Mack",1.5,"Moderate","normal","normal",1.2,"normal","normal","normal","Low",1,131,0.5,0,2.9,0.0725,0.432835820895522
"13","Lorenzo Williams",0.3,"Low","normal","normal",2,"normal","normal","outstanding","Low",1,75.8,0.666666666666667,0,3.6,0.133333333333333,0.545454545454545
"14","P.J. Hairston",0.8,"Moderate","normal","normal",2,"normal","normal","normal","Low",0,148.5,1,0,5.4,0.12,0.352941176470588
"15","Elmore Spencer",0.7,"Low","normal","normal",1.4,"normal","normal","outstanding","Low",1,103.7,0.333333333333333,0,3.4,0.0772727272727273,0.53125
"16","John Crotty",1,"Low","normal","normal",0.4,"normal","normal","normal","Moderate",1,134.1,0.375,0,2.9,0.0725,0.475409836065574
"17","Stephen Howard",1.1,"Low","normal","normal",1.2,"normal","normal","normal","Low",0,101.8,0.6,0,1.9,0.0387755102040816,0.358490566037736
"18","Randy Woods",0.6,"Moderate","normal","normal",0.3,"normal","normal","normal","Low",0,129.3,0.75,0,1.9,0.0463414634146341,0.452380952380952
"19","Larry Johnson",5,"Moderate","outstanding","outstanding",11,"outstanding","normal","outstanding","High",0,154.6,0.526315789473684,2,28.2,0.34390243902439,0.758064516129032
"20","Larry Johnson",5,"Moderate","outstanding","outstanding",11,"outstanding","normal","outstanding","High",1,154.6,0.526315789473684,2,28.2,0.34390243902439,0.758064516129032
"21","Billy Owens",3.9,"Low","outstanding","outstanding",8,"outstanding","outstanding","outstanding","High",1,129,0.5,1,21.2,0.265,0.67515923566879
"22","Stacey Augmon",3.9,"Low","outstanding","outstanding",5.1,"outstanding","outstanding","normal","High",1,132.2,0.681818181818182,1,16.4,0.2,0.537704918032787
"23","Mark Macon",2.4,"Moderate","outstanding","normal",2.9,"outstanding","outstanding","normal","High",1,123.8,1,1,10.6,0.139473684210526,0.34983498349835
"24","Steven Smith",2.1,"Moderate","outstanding","normal",3.1,"outstanding","normal","normal","High",0,152.2,0.4,1,15.5,0.254098360655738,0.523648648648649
"25","Mitch McGary",1.3,"Low","outstanding","outstanding",5.2,"normal","normal","outstanding","Moderate",0,115.8,0.5,0,11,0.34375,0.723684210526316
"26","Larry Stewart",3.1,"Moderate","outstanding","outstanding",5.9,"normal","normal","outstanding","Moderate",1,132.1,0.466666666666667,1,14.8,0.194736842105263,0.505119453924915
"27","Mike Iuzzolino",2.5,"Moderate","normal","normal",1.9,"outstanding","normal","normal","High",0,172.1,0.333333333333333,0,10.6,0.203846153846154,0.430894308943089
"28","Doug Smith",1.6,"Moderate","outstanding","outstanding",5.1,"normal","normal","outstanding","Moderate",1,115.1,0.615384615384615,0,12.4,0.163157894736842,0.551111111111111
"29","Paul Graham",2.2,"Moderate","normal","normal",3,"outstanding","outstanding","normal","Moderate",0,157.8,1,1,12.5,0.16025641025641,0.568181818181818
"30","Donald Hodge",2.9,"Low","outstanding","outstanding",5.4,"normal","normal","outstanding","Moderate",1,116.4,0.333333333333333,0,11.2,0.219607843137255,0.541062801932367
"31","Dale Davis",2.4,"Low","outstanding","outstanding",6.4,"normal","normal","outstanding","Moderate",1,112.4,0.5,0,11.9,0.1859375,0.586206896551724
"32","Stanley Roberts",3.6,"Low","outstanding","outstanding",6.1,"normal","normal","outstanding","Moderate",1,104.4,0.285714285714286,1,14.6,0.265454545454545,0.719211822660098
"33","Terrell Brandon",1.5,"Moderate","normal","normal",2,"outstanding","normal","normal","High",1,126.8,0.588235294117647,0,10.3,0.125609756097561,0.525510204081633
"34","Bison Dele",3,"Low","outstanding","outstanding",5.7,"normal","normal","outstanding","High",1,119.7,0.444444444444444,0,13,0.270833333333333,0.687830687830688
"35","Spencer Dinwiddie",1,"High","normal","normal",1.4,"outstanding","normal","normal","Moderate",0,139.9,0.6,0,5.6,0.164705882352941,0.417910447761194
"36","Tracy Moore",1.9,"Moderate","normal","normal",2,"normal","normal","normal","Moderate",1,159,0.727272727272727,0,8,0.190476190476191,0.43010752688172
"37","Greg Anthony",1.9,"Moderate","normal","normal",1.7,"outstanding","normal","normal","Moderate",1,125.6,0.583333333333333,0,7.4,0.0902439024390244,0.402173913043478
"38","Kenny Anderson",1.5,"Moderate","normal","normal",2,"outstanding","outstanding","normal","Moderate",1,136.6,0.733333333333333,0,8.7,0.1359375,0.511764705882353
"39","Victor Alexander",1.9,"Low","outstanding","outstanding",4.2,"normal","normal","outstanding","Moderate",1,122,0.545454545454545,0,10.7,0.13375,0.633136094674556
"40","David Benoit",1.3,"Moderate","outstanding","normal",3.8,"normal","normal","outstanding","Moderate",1,149.1,0.333333333333333,0,8.2,0.106493506493506,0.543046357615894
"41","Kevin Lynch",0.8,"Moderate","normal","normal",1.5,"normal","normal","normal","Moderate",0,155.3,0.875,0,5.7,0.103636363636364,0.38255033557047
"42","LaBradford Smith",1.2,"Moderate","normal","normal",1.7,"outstanding","normal","normal","Moderate",0,130.6,0.692307692307692,0,6.4,0.133333333333333,0.432432432432433
"43","Chris Corchiani",2,"Moderate","normal","normal",1.5,"outstanding","normal","normal","Moderate",0,154.4,0.642857142857143,0,6,0.117647058823529,0.413793103448276
"44","Travis Wear",0.5,"Moderate","normal","normal",2.1,"normal","normal","normal","Low",0,153.8,0.428571428571429,0,5.2,0.101960784313725,0.393939393939394
