"EEF","PTS","FTA","EEF_MIN","FGA","TARGET_5Yrs"
9.2,8.8,2.2,0.446601941747573,8.2,"No"
9.5,6.5,1.6,0.5163043,5.8,"Yes"
5.8,5.5,2.2,0.3741935,5,"No"
5,4.2,0.9,0.324675324675325,4.2,"No"
12.7,12.7,3.6,0.465201465201465,11,"No"
7.5,6.2,1.7,0.46583850931677,6,"No"
6.1,4.4,2,0.4765625,2.9,"No"
5.7,6.2,1.2,0.377483443708609,5.5,"No"
13.8,9.2,2.1,0.647887323943662,7.6,"Yes"
4.4,3.1,0.5,0.346456692913386,3.3,"No"
16.3,7.9,2.7,0.78743961352657,5.7,"Yes"
11,9.4,2.7,0.521327,8.2,"No"
4,4.4,0.3,0.380952380952381,4.4,"No"
13.3,12.9,3,0.563559322033899,10.7,"Yes"
3.7,2.9,0.7,0.37,2.6,"No"
22.4,16,4,0.6086957,13.3,"Yes"
12.3,9.6,3.3,0.5466667,8.4,"Yes"
13.5,9.8,2.1,0.483871,9.8,"Yes"
4.9,4,0.7,0.236714975845411,4.3,"No"
5.8,5.5,1.4,0.3918919,4.5,"Yes"
6.3,4.1,1.7,0.5478261,2.9,"Yes"
2.4,1.9,0.5,0.4528302,1.7,"Yes"
3.9,2.7,0.5,0.357798165137615,3.4,"Yes"
6,3.9,1.3,0.3797468,3.4,"No"
21.9,17.5,4.5,0.6049724,16.5,"Yes"
9.3,7.8,2.3,0.3522727,7.4,"Yes"
18.5,13.4,3.2,0.6166667,11.6,"Yes"
7.1,3.7,0.6,0.617391304347826,2.9,"No"
7.1,5.1,0.8,0.533834586466165,4.3,"Yes"
3.2,1.6,0.4,0.470588235294118,1.9,"Yes"
7.9,5.6,1,0.49685534591195,4.8,"Yes"
1.3,1.3,0.4,0.206349206349206,1.3,"Yes"
8.5,8.8,1.7,0.318352059925094,8.3,"No"
3.7,3.3,0.9,0.406593406593407,3.6,"Yes"
3.5,2.4,0.5,0.421686746987952,2.5,"No"
8.4,5.6,1.3,0.651162790697674,4.4,"Yes"
7.3,4.9,1.2,0.442424242424242,4.8,"Yes"
3.5,2.7,0.5,0.460526315789474,2.6,"Yes"
2.6,3.4,1.5,0.388059701492537,3.1,"No"
6.1,4.7,2.3,0.327956989247312,3.9,"Yes"
3.2,3.1,0.8,0.463768115942029,2.8,"No"
14.6,11.6,2.7,0.4866667,11.6,"Yes"
3.1,2.5,0.9,0.407894736842105,2.1,"Yes"
21.8,15.7,5,0.646884272997033,11.3,"Yes"
7.8,6.3,2.7,0.6341463,3.6,"Yes"
1.4,1.8,0.3,0.25,2.4,"No"
4.1,2.8,1,0.36283185840708,2.5,"No"
5.7,3.5,1.2,0.504424778761062,3.2,"No"
19.2,16.8,4.2,0.542372881355932,13.4,"Yes"
9.9,8.1,0.9,0.4125,7.7,"Yes"
5.1,3.9,1,0.4047619,4.1,"Yes"
7.4,4.4,0.8,0.587301587301587,4,"Yes"
4.3,3.8,1,0.390909090909091,3.7,"No"
8.3,4.9,1,0.628787878787879,3.9,"No"
4.2,3.5,0.2,0.3230769,3.8,"Yes"
5.3,5.2,1.8,0.540816326530612,4.1,"No"
12.8,10.6,1.9,0.579185520361991,9.3,"Yes"
5.1,5.3,0.9,0.408,4.7,"No"
13,12,2.5,0.5263158,10.7,"Yes"
9.9,6.1,0.9,0.423076923076923,5.9,"No"
7,5,0.4,0.573770491803279,4.9,"No"
7.6,4.7,1.6,0.506666666666667,3.9,"No"
12.1,8.1,2.6,0.715976331360947,5.2,"Yes"
17,10,2.4,0.671936758893281,7.6,"Yes"
12.8,10,3,0.615384615384616,7.6,"Yes"
19.5,21,6.4,0.534246575342466,17.9,"Yes"
13.2,10.1,2.3,0.4285714,8.8,"Yes"
1.5,1.7,1,0.238095238095238,1.7,"No"
20.2,14,4.9,0.706293706293706,9.5,"Yes"
11.3,8.4,3.6,0.562189054726368,5.8,"No"
3.9,8.4,0.8,0.23780487804878,5.8,"No"
11.3,8.4,3.6,0.562189054726368,5.8,"No"
11.3,8.4,3.6,0.562189054726368,5.8,"No"
11.3,8.4,3.6,0.562189054726368,5.8,"Yes"
3.9,8.4,0.8,0.23780487804878,5.8,"No"
11.3,8.4,3.6,0.562189054726368,5.8,"No"
11.3,8.4,3.6,0.562189054726368,5.8,"Yes"
3.9,3.7,0.8,0.23780487804878,4.2,"No"
11.3,3.7,3.6,0.562189054726368,4.2,"No"
3.9,3.7,0.8,0.23780487804878,4.2,"No"
3.9,3.7,0.8,0.23780487804878,4.2,"Yes"
15.6,9.6,3.5,0.678260869565217,7,"Yes"
4.4,2.9,1.3,0.505747126436782,2.2,"Yes"
4.4,2.9,1.3,0.505747126436782,2.2,"No"
3.4,2.9,0.3,0.395348837209302,2.2,"No"
18.8,2.9,5.5,0.618421052631579,2.2,"No"
3.4,2.9,0.3,0.395348837209302,2.2,"Yes"
18.8,2.9,5.5,0.618421052631579,2.2,"Yes"
3.4,2.9,0.3,0.395348837209302,2.2,"No"
18.8,16.3,5.5,0.618421052631579,12.4,"Yes"
3.4,16.3,0.3,0.395348837209302,12.4,"Yes"
4.4,16.3,1.3,0.505747126436782,12.4,"Yes"
4.4,16.3,1.3,0.505747126436782,12.4,"Yes"
4.4,16.3,1.3,0.505747126436782,12.4,"No"
18.8,16.3,5.5,0.618421052631579,12.4,"Yes"
3.4,16.3,0.3,0.395348837209302,12.4,"No"
4.4,16.3,1.3,0.505747126436782,12.4,"Yes"
3.4,16.3,0.3,0.395348837209302,12.4,"Yes"
