"EEF","PTS","FTA","EEF_MIN","FGA","TARGET_5Yrs"
10,6.4,2,0.531914893617021,4.7,"Yes"
8,7.3,1.3,0.51948051948052,6.3,"Yes"
5.7,5.2,1,0.478991596638655,4.4,"Yes"
8,5.2,1.3,0.4705882,4.4,"No"
6,4.3,1.6,0.6,3.3,"Yes"
1.8,1.6,0.2,0.310344827586207,1.9,"No"
9.7,6.6,2.9,0.5132275,4.6,"Yes"
10.5,11.8,2.2,0.352348993288591,12.1,"No"
9.5,6.7,1.4,0.4112554,6.9,"No"
3.6,1.9,0.5,0.553846153846154,1.5,"Yes"
11.8,6.7,2.2,0.4402985,5.7,"Yes"
6.8,5.6,1.5,0.379888268156425,5,"Yes"
9.9,6.7,1.9,0.668918918918919,5.2,"Yes"
6.2,5.8,1.1,0.394904458598726,5,"Yes"
8.3,6.4,2.5,0.4636872,5.5,"Yes"
14.2,12.1,2.3,0.63677130044843,10.7,"Yes"
6.7,7.2,2.4,0.421383647798742,6.1,"Yes"
4.2,3.5,1.2,0.494117647058823,2.6,"No"
5.1,5.2,1.2,0.401574803149606,5.5,"No"
7.5,8.5,1.4,0.390625,8.5,"Yes"
22.5,23.5,7.2,0.5610973,19.8,"Yes"
25.3,21,8.1,0.7463127,14.3,"Yes"
3.9,3.1,1.1,0.4588235,2.2,"No"
9.2,4.5,1.5,0.621621621621621,3.6,"Yes"
6.8,6,1.7,0.3434343,5.2,"Yes"
16.5,13.5,5.9,0.527156549520767,10.1,"Yes"
4.3,3.3,1,0.5308642,2.8,"No"
3.8,2.4,0.4,0.535211267605634,1.9,"No"
15.6,9,2.6,0.475609756097561,6.7,"Yes"
14.9,11.1,3.6,0.5843137,9.2,"Yes"
4.6,1.9,0.3,0.46,1.7,"No"
2.7,1.6,0.6,0.36986301369863,1.8,"Yes"
7.2,7.2,3.4,0.267657992565056,6.7,"No"
4.8,2.6,1,0.564705882352941,1.9,"Yes"
4.5,4.2,1.3,0.3515625,4.3,"Yes"
9.7,6.3,1.6,0.412766,6.4,"Yes"
9.1,5.3,2.2,0.471502590673575,4.9,"No"
21.2,13.5,3.5,0.736111111111111,10.6,"Yes"
3.9,3.3,0.7,0.573529411764706,2.7,"No"
9.8,7.5,1.4,0.3333333,7.9,"Yes"
5.9,5,1,0.446969696969697,5,"No"
12.4,10.1,1.4,0.548672566371681,8,"Yes"
11.2,10.4,2.7,0.5209302,8.2,"Yes"
