"EEF","GP","FTM","PTS","FTA","TARGET_5Yrs"
9.2,2,2,8.8,2.2,"No"
9.5,1,2,6.5,1.6,"Yes"
5.8,2,2,5.5,2.2,"No"
5,2,2,4.2,0.9,"No"
12.7,3,3,12.7,3.6,"No"
7.5,3,2,6.2,1.7,"No"
6.1,2,2,4.4,2,"No"
5.7,1,2,6.2,1.2,"No"
13.8,3,2,9.2,2.1,"Yes"
4.4,1,1,3.1,0.5,"No"
16.3,2,2,7.9,2.7,"Yes"
11,1,3,9.4,2.7,"No"
4,1,1,4.4,0.3,"No"
13.3,2,3,12.9,3,"Yes"
3.7,1,1,2.9,0.7,"No"
22.4,3,3,16,4,"Yes"
12.3,1,3,9.6,3.3,"Yes"
13.5,3,2,9.8,2.1,"Yes"
4.9,1,1,4,0.7,"No"
5.8,1,2,5.5,1.4,"Yes"
6.3,1,2,4.1,1.7,"Yes"
2.4,1,1,1.9,0.5,"Yes"
3.9,1,1,2.7,0.5,"Yes"
6,2,2,3.9,1.3,"No"
21.9,3,3,17.5,4.5,"Yes"
9.3,2,2,7.8,2.3,"Yes"
18.5,2,3,13.4,3.2,"Yes"
7.1,1,1,3.7,0.6,"No"
7.1,2,2,5.1,0.8,"Yes"
3.2,1,1,1.6,0.4,"Yes"
7.9,3,2,5.6,1,"Yes"
1.3,1,1,1.3,0.4,"Yes"
8.5,3,2,8.8,1.7,"No"
3.7,2,2,3.3,0.9,"Yes"
3.5,1,1,2.4,0.5,"No"
8.4,2,2,5.6,1.3,"Yes"
7.3,3,2,4.9,1.2,"Yes"
3.5,2,1,2.7,0.5,"Yes"
2.6,1,2,3.4,1.5,"No"
6.1,2,2,4.7,2.3,"Yes"
3.2,2,1,3.1,0.8,"No"
14.6,2,3,11.6,2.7,"Yes"
3.1,1,1,2.5,0.9,"Yes"
21.8,3,3,15.7,5,"Yes"
7.8,1,3,6.3,2.7,"Yes"
1.4,1,1,1.8,0.3,"No"
4.1,2,2,2.8,1,"No"
5.7,1,1,3.5,1.2,"No"
19.2,2,3,16.8,4.2,"Yes"
9.9,2,1,8.1,0.9,"Yes"
5.1,2,2,3.9,1,"Yes"
7.4,1,1,4.4,0.8,"Yes"
4.3,2,2,3.8,1,"No"
8.3,2,2,4.9,1,"No"
4.2,1,1,3.5,0.2,"Yes"
5.3,2,2,5.2,1.8,"No"
12.8,2,2,10.6,1.9,"Yes"
5.1,1,1,5.3,0.9,"No"
13,2,3,12,2.5,"Yes"
9.9,2,2,6.1,0.9,"No"
7,2,1,5,0.4,"No"
7.6,3,2,4.7,1.6,"No"
12.1,1,2,8.1,2.6,"Yes"
