"EEF","GP","FTM","PTS","FTA","TARGET_5Yrs"
10,3,2,6.4,2,"Yes"
8,2,2,7.3,1.3,"Yes"
5.7,2,2,5.2,1,"Yes"
8,1,2,5.2,1.3,"No"
6,2,2,4.3,1.6,"Yes"
1.8,1,1,1.6,0.2,"No"
9.7,3,3,6.6,2.9,"Yes"
10.5,3,2,11.8,2.2,"No"
9.5,1,2,6.7,1.4,"No"
3.6,2,1,1.9,0.5,"Yes"
11.8,2,2,6.7,2.2,"Yes"
6.8,3,2,5.6,1.5,"Yes"
9.9,2,2,6.7,1.9,"Yes"
6.2,1,2,5.8,1.1,"Yes"
8.3,3,2,6.4,2.5,"Yes"
14.2,2,3,12.1,2.3,"Yes"
6.7,2,3,7.2,2.4,"Yes"
4.2,1,2,3.5,1.2,"No"
5.1,2,2,5.2,1.2,"No"
7.5,3,2,8.5,1.4,"Yes"
22.5,2,3,23.5,7.2,"Yes"
25.3,3,3,21,8.1,"Yes"
3.9,2,2,3.1,1.1,"No"
9.2,3,2,4.5,1.5,"Yes"
6.8,2,2,6,1.7,"Yes"
16.5,3,3,13.5,5.9,"Yes"
4.3,1,2,3.3,1,"No"
3.8,1,1,2.4,0.4,"No"
15.6,3,3,9,2.6,"Yes"
14.9,3,3,11.1,3.6,"Yes"
4.6,1,1,1.9,0.3,"No"
2.7,1,1,1.6,0.6,"Yes"
7.2,1,3,7.2,3.4,"No"
4.8,2,1,2.6,1,"Yes"
4.5,2,2,4.2,1.3,"Yes"
9.7,3,2,6.3,1.6,"Yes"
9.1,2,2,5.3,2.2,"No"
21.2,2,3,13.5,3.5,"Yes"
3.9,1,1,3.3,0.7,"No"
9.8,2,2,7.5,1.4,"Yes"
5.9,2,2,5,1,"No"
12.4,2,2,10.1,1.4,"Yes"
11.2,2,3,10.4,2.7,"Yes"
11.4,2,2,8,2.1,"Yes"
1.3,1,1,1.8,0.6,"Yes"
11.4,3,3,7.7,3.7,"Yes"
4.3,2,2,3.7,1.1,"No"
19.2,2,3,14.8,3.5,"Yes"
3.2,1,1,2.9,0.6,"No"
4.4,2,2,3.7,1.2,"Yes"
8.9,2,3,6.3,2.8,"No"
6,2,2,6.2,1.8,"Yes"
5,2,1,3.5,0.9,"No"
8.6,3,2,5.9,1.9,"Yes"
9.9,2,2,6.6,1.8,"Yes"
5.1,1,2,3.8,1.3,"No"
17.2,3,3,11.1,3.9,"Yes"
5.7,1,1,2.8,0.9,"No"
4.8,2,1,2.7,0.7,"Yes"
11.5,2,2,6.3,2.3,"No"
6.9,2,2,5.4,2,"Yes"
4.3,1,2,3.5,1.2,"No"
19.4,3,2,9.8,1.9,"Yes"
5.9,2,2,5,0.8,"No"
21.2,3,3,14.3,3.9,"Yes"
3.8,2,1,3.2,0.7,"No"
4.6,1,1,3.7,0.4,"No"
13,2,3,9.1,3,"Yes"
3.7,2,1,3.2,0.8,"Yes"
28.8,3,3,22.5,8.5,"Yes"
10.8,3,3,8.9,2.5,"Yes"
6,2,2,6.9,1.9,"No"
12.7,1,2,6.9,2.8,"Yes"
3.6,1,2,3.4,1,"No"
2.6,2,1,2.1,1.5,"No"
3.6,2,1,2.1,1,"No"
6.8,3,2,5.3,1.8,"Yes"
5.5,2,1,5.3,0.6,"No"
3.1,1,1,2.5,0.9,"No"
3.1,1,1,2.5,0.9,"Yes"
3.1,1,1,2.5,0.9,"No"
10.9,2,2,7,1.1,"No"
6,2,2,4.2,0.9,"Yes"
12,3,2,8.5,2.2,"Yes"
14.8,2,3,13.9,2.8,"Yes"
6.5,1,2,4,1.1,"Yes"
8.2,1,2,7.4,2.3,"No"
16.6,3,3,15.5,3.3,"Yes"
13.8,2,2,12.8,2.1,"Yes"
9.2,2,2,5.1,2.6,"Yes"
13,3,2,10.1,1.7,"Yes"
3.9,2,1,2.2,0.9,"No"
16.8,3,3,9,3.1,"Yes"
1.3,2,2,1.9,1,"No"
17.7,3,3,13.2,4.5,"Yes"
8.5,3,2,7.1,1,"Yes"
15.1,3,2,8.6,1.6,"Yes"
20.7,3,3,13,2.6,"Yes"
4.3,2,2,4,1.6,"Yes"
3.6,1,1,3.1,0.3,"No"
1.2,1,1,1.9,0.8,"No"
5.3,1,2,4,1.3,"No"
16.5,2,3,13.3,3.9,"Yes"
9.2,1,3,8.9,3.1,"Yes"
7.3,2,2,5,1.5,"Yes"
3.9,1,2,3.3,1.1,"No"
4.8,2,2,3.8,1,"Yes"
25.4,3,3,15.5,4.7,"Yes"
5.1,2,2,5.6,1.8,"Yes"
7.2,3,2,5.3,2.5,"No"
3.9,1,2,3.4,1,"Yes"
4.2,1,2,3.7,0.9,"Yes"
3.7,1,1,2.7,0.8,"No"
6.9,1,2,4.7,1,"No"
17,2,2,8.9,2.4,"Yes"
12.8,2,2,8.9,3,"Yes"
15.9,3,3,15.4,4.8,"Yes"
4.5,2,2,5.1,1.5,"No"
7.6,2,2,8.2,2.6,"Yes"
13.2,3,2,10.1,2.3,"No"
13.2,3,2,10.1,2.3,"Yes"
13.2,3,2,10.1,2.3,"No"
4.6,1,1,2.9,0.8,"No"
12.4,2,3,8.4,2.7,"No"
14.7,2,2,9.5,1.2,"Yes"
14.7,2,3,12.3,3.5,"Yes"
2.4,2,2,3,1.2,"No"
8.5,2,2,5.8,0.8,"No"
11.3,3,3,8.4,3.6,"No"
11.3,3,3,8.4,3.6,"Yes"
3.9,3,3,8.4,0.8,"No"
3.9,3,3,8.4,0.8,"Yes"
3.9,3,3,8.4,0.8,"No"
3.9,3,3,8.4,0.8,"Yes"
11.3,3,3,8.4,3.6,"No"
3.9,3,3,8.4,0.8,"No"
3.9,3,3,8.4,0.8,"No"
3.9,3,3,8.4,0.8,"Yes"
11.3,1,1,3.7,3.6,"No"
11.3,1,1,3.7,3.6,"No"
11.3,1,1,3.7,3.6,"Yes"
3.9,1,1,3.7,0.8,"No"
3.9,1,1,3.7,0.8,"Yes"
11.3,1,1,3.7,3.6,"No"
11.3,1,1,3.7,3.6,"Yes"
3.9,1,1,3.7,0.8,"No"
3.9,1,1,3.7,0.8,"No"
3.9,1,1,3.7,0.8,"Yes"
11.3,1,1,3.7,3.6,"No"
11.3,1,1,3.7,3.6,"No"
11.3,1,1,3.7,3.6,"Yes"
3.9,1,1,3.7,0.8,"No"
5.5,2,1,3.1,0.7,"Yes"
4.4,2,2,2.9,1.3,"Yes"
18.8,2,2,2.9,5.5,"No"
3.4,2,2,2.9,0.3,"Yes"
18.8,2,2,2.9,5.5,"Yes"
18.8,2,2,2.9,5.5,"Yes"
3.4,2,2,2.9,0.3,"No"
3.4,2,2,2.9,0.3,"Yes"
4.4,2,2,2.9,1.3,"Yes"
18.8,2,2,2.9,5.5,"No"
3.4,2,2,2.9,0.3,"Yes"
4.4,2,2,2.9,1.3,"Yes"
4.4,2,2,2.9,1.3,"No"
18.8,2,2,2.9,5.5,"Yes"
18.8,2,2,2.9,5.5,"Yes"
3.4,2,2,2.9,0.3,"Yes"
4.4,2,2,2.9,1.3,"Yes"
4.4,2,2,2.9,1.3,"Yes"
4.4,2,2,2.9,1.3,"No"
18.8,2,2,2.9,5.5,"Yes"
3.4,2,2,2.9,0.3,"Yes"
4.4,2,3,16.3,1.3,"Yes"
18.8,2,3,16.3,5.5,"No"
3.4,2,3,16.3,0.3,"Yes"
4.4,2,3,16.3,1.3,"Yes"
4.4,2,3,16.3,1.3,"No"
18.8,2,3,16.3,5.5,"Yes"
3.4,2,3,16.3,0.3,"No"
18.8,2,3,16.3,5.5,"No"
3.4,2,3,16.3,0.3,"Yes"
18.8,2,3,16.3,5.5,"Yes"
3.4,2,3,16.3,0.3,"Yes"
4.4,2,3,16.3,1.3,"Yes"
18.8,2,3,16.3,5.5,"No"
3.4,2,3,16.3,0.3,"Yes"
4.4,2,3,16.3,1.3,"No"
18.8,2,3,16.3,5.5,"Yes"
18.8,2,3,16.3,5.5,"Yes"
3.4,2,3,16.3,0.3,"No"
4.4,1,1,3.5,1.3,"Yes"
18.8,1,1,3.5,5.5,"No"
3.4,1,1,3.5,0.3,"Yes"
4.4,1,1,3.5,1.3,"Yes"
4.4,1,1,3.5,1.3,"No"
18.8,1,1,3.5,5.5,"Yes"
